Winner_Name, Winner_Items, HP_Remaining, Opponent_Name, Opponent_Items
Elaine Langdon,Shield,4,Amara Harper,Leather Boots
Lysandra Harper,Shield,5,Valentin Harrington,Sword
Galen Arundel,Leather Boots,2,Cornelius Merrick,Shield
Cordelia Sheffield,Leather Boots,18,Aurelie Chadwick,Sword
First Name Llewellyn,Leather Boots,5,Carl Pendragon,Sword
Octavius Harper,Shield,1,Cedric Drake,Leather Boots
Amara Witherspoon,Shield,4,Cressida Witherspoon,Leather Boots
Augustus Marlowe,Shield,13,Corbin Davenport,Leather Boots
Helena Sinclair,Sword,21,Aurelian Blackwell,Shield
Augustus Manning,Sword,5,Corbin Stanhope,Shield
Orlando Covington,Sword,1,Isolde Blackburn,Leather Boots
Cressida Drake,Leather Boots,2,Felix Chadwell,Shield
Helena Wellford,Shield,5,Euphemia Hampton,Leather Boots
Tiberius Pendleton,Sword,19,Seraphina Clifford,Shield
Elara Chaucer,Shield,13,Octavius Hastings,Sword
Benedict Huntington,Leather Boots,9,Helena Stanhope,Shield
Orlando Bannister,Shield,3,Guinevere Westminster,Leather Boots
Corin Last Name,Shield,10,Evangeline Westcott,Leather Boots
Evangeline Arundel,Shield,16,Beatrice Fitzwilliam,Sword
Maximus Davenport,Sword,3,Lucian Carleton,Shield
Hadrian Fairchild,Shield,18,Thaddeus Westbury,Leather Boots
Lysandra Whitaker,Leather Boots,17,Augustus Hampton,Sword
Evangeline Sinclair,Leather Boots,5,Cordelia Chatham,Sword
Benedict Standish,Sword,15,Severus Redcliffe,Leather Boots
Helena Warwick,Shield,5,Daphne Monroe,Leather Boots
Isolde Pendragon,Shield,2,Eleanor Winslow,Leather Boots
Lyra Bellingham,Sword,3,Cornelius Channing,Shield
Aurelian Faraday,Sword,16,Perseus Dunstable,Shield
Titania Faraday,Leather Boots,15,Aurelius Westminster,Shield
Aurelie Monroe,Shield,9,Cassius Covington,Leather Boots
Lucinda Withers,Sword,9,Beatrice Blackburn,Leather Boots
Isadora Monroe,Shield,6,Felix Fitzwilliam,Leather Boots
Lucius Stratton,Shield,17,Perseus Farleigh,Sword
Evangeline Stratton,Shield,9,Constantine Carlisle,Sword
Evangeline Bannister,Sword,1,Eloise Donovan,Leather Boots
First Name Stratford,Shield,16,Guinevere Last Name,Sword
Maximus Langley,Shield,16,Felix Montgomery,Sword
Titus Davenport,Sword,2,Titus Clayton,Leather Boots
Caius Mortimer,Sword,12,Aurelian Blackwood,Leather Boots
Rosamund Warwick,Sword,7,Rowan Chatham,Shield
Octavian Claybourne,Sword,15,Carl Carlisle,Leather Boots
Perseus Bramblecroft,Sword,10,Ariadne Bradbury,Leather Boots
First Name Meriwether,Leather Boots,11,Cassius Donovan,Sword
Isolde Lancaster,Sword,11,Maximus Farleigh,Shield
Beatrice Llewellyn,Shield,7,Seraphina Chadwell,Leather Boots
Lancelot Clifford,Sword,19,Galen Chamberlain,Shield
Hadrian Dunstable,Leather Boots,2,Amara Harrington,Shield
Ginevra Westbury,Shield,16,Cedric Montgomery,Sword
Augustus Winslow,Sword,27,Eleanor Hawthorne,Shield
Cassia Warwick,Sword,5,Leander Ellis,Shield
Morgana Covington,Leather Boots,5,Althea Carlyle,Shield
Hadrian Addington,Leather Boots,10,Remus Barlow,Shield
Galen Langdon,Sword,4,Tiberius Winthrop,Leather Boots
Isadora Harrington,Leather Boots,16,Lavinia Addington,Sword
Ambrose Meriwether,Leather Boots,2,Tiberius Blackwood,Shield
Benedict Monroe,Shield,1,Cedric Sinclair,Leather Boots
Quintus Hastings,Sword,5,Octavian Winchester,Shield
Euphemia Bradbury,Shield,13,Septimus Chadwell,Leather Boots
Ambrose Covington,Shield,6,Aurelie Hastings,Leather Boots
Cordelia Carlton,Shield,16,Benedict Lancaster,Leather Boots
Marcus Hawthorne,Leather Boots,1,Cedric Addington,Sword
Lysander Sheffield,Sword,4,Aurelius Wentworth,Shield
Evangeline Cromwell,Sword,2,Corbin Whitmore,Shield
Augustus Hawthorne,Leather Boots,13,Cyprian Wentworth,Sword
Guinevere Westbury,Shield,7,Maximus Stanhope,Leather Boots
Galen Bramblecroft,Leather Boots,11,Aurelia Winchester,Shield
Lancelot Somerset,Shield,6,Artemis Covington,Sword
Cressida Pendragon,Shield,6,Titus Langford,Leather Boots
Helena Monroe,Sword,7,Octavius Witherspoon,Shield
Evangeline Whitfield,Sword,21,Valerius Faraday,Leather Boots
Eloise Marston,Shield,16,Evangeline Mortimer,Sword
Lavinia Llewellyn,Shield,13,Caius Pembroke,Leather Boots
Valerius Hastings,Leather Boots,1,Cornelius Fairchild,Sword
Guinevere Marston,Shield,18,Severus Lancaster,Leather Boots
Perseus Fitzwilliam,Shield,1,Ariadne Somerset,Sword
Valentin Whitmore,Sword,12,Septimus Marston,Shield
Corin Hazelmere,Shield,2,Caius Sanderson,Sword
Marcus Standish,Shield,8,Cassia Monroe,Sword
Aurelius Chaucer,Leather Boots,3,Aurelius Sinclair,Shield
Quintus Chamberlain,Sword,4,Briallen Winchester,Shield
Beatrice Westminster,Leather Boots,8,Seraphina Fairchild,Shield
Octavius Fairfax,Leather Boots,4,Helena Carlyle,Sword
Rosalind Farleigh,Leather Boots,11,Guinevere Beauchamp,Sword
Maximus Sheffield,Sword,4,Guinevere Somerset,Shield
Lucinda Carlyle,Sword,3,Perseus Faraday,Leather Boots
Tiberius Fitzgerald,Sword,3,Ambrose Whitmore,Leather Boots
Tiberius Whitaker,Shield,2,Augustus Hastings,Sword
Quintus Stanhope,Sword,20,Euphemia Sinclair,Shield
Ambrose Meriwether,Sword,3,Cyprian Marston,Shield
Ariadne Cromwell,Leather Boots,3,Cyprian Westcott,Shield
Lyra Chamberlain,Sword,7,Ariadne Hastings,Leather Boots
Lancelot Marlowe,Shield,14,Morgana Blackwell,Sword
Gawain Manning,Shield,8,Ginevra Winslow,Leather Boots
Septimus Stanhope,Sword,4,Marcellus Langdon,Shield
Marcellus Hazelmere,Sword,27,Lucius Hawthorne,Shield
Hadrian Carlyle,Shield,18,Giselle Hampton,Leather Boots
Cordelia Clayton,Shield,15,Titus Chaucer,Leather Boots
Aveline Montgomery,Sword,11,Daphne Monroe,Shield
Aurelie Ellis,Shield,8,Briallen Monroe,Leather Boots
Septimus Bradbury,Shield,11,Benedict Bannister,Sword
Rosamund Wellford,Shield,10,Cyprian Meriwether,Leather Boots
Isolde Channing,Leather Boots,15,Ginevra Hazelmere,Shield
Junia Ellis,Sword,3,Carl Blackburn,Leather Boots
Rosalind Stanhope,Shield,13,Helena Fitzwilliam,Sword
Helena Bannister,Leather Boots,12,Evangeline Hampton,Sword
Isadora Wycliffe,Shield,9,Junia Clayton,Sword
Gaius Winchester,Leather Boots,15,Gaius Fitzgerald,Shield
Galen Blackwell,Sword,7,Cressida Beauchamp,Shield
Severus Sinclair,Shield,20,Cedric Wellford,Sword
Lucius Langford,Leather Boots,5,Elaine Windsor,Shield
Artemis Harrow,Sword,4,Leander Meriwether,Leather Boots
Arabella Chadwell,Shield,7,Isolde Drake,Sword
Ambrose Montgomery,Shield,9,Leander Last Name,Leather Boots
Gawain Chamberlain,Shield,5,Isolde Farleigh,Sword
Galen Clayton,Shield,5,Augustus Pendragon,Sword
Giselle Holloway,Leather Boots,2,Cordelia Langford,Shield
Quintus Carlisle,Sword,9,Quintus Westminster,Leather Boots
Cressida Blackburn,Leather Boots,6,Marcellus Covington,Sword
Marcellus Clifford,Shield,18,Lancelot Chatham,Leather Boots
Althea Westminster,Shield,1,Leander Marlowe,Sword
Lysandra Kingsley,Shield,22,Morgana Arundel,Sword
Lysander Westminster,Shield,12,Percival Bramblecroft,Leather Boots
Constantine Hastings,Shield,10,Isolde Ashbourne,Leather Boots
Benedict Chatham,Leather Boots,12,Titus Whitaker,Shield
Thaddeus Westbury,Sword,1,Elowen Standish,Shield
Theron Wellington,Leather Boots,1,Eloise Harrow,Sword
Augustus Stratford,Sword,20,Lavinia Bradford,Leather Boots
Orlando Addington,Shield,9,Cyprian Manning,Leather Boots
Leander Cromwell,Leather Boots,22,Evangeline Kingsley,Shield
Quintus Drake,Sword,3,Remus Hastings,Shield
Leander Withers,Leather Boots,16,Titania Chadwick,Sword
Seraphina Hollingsworth,Shield,12,Cedric Drake,Leather Boots
Octavius Warwick,Leather Boots,3,First Name Monroe,Shield
Aveline Carlisle,Sword,10,First Name Drake,Shield
Titania Blackburn,Sword,5,Eleanor Hazelmere,Leather Boots
Valerius Somerset,Leather Boots,9,Daphne Somerset,Shield
Cyprian Davenport,Leather Boots,7,Marcus Bramblecroft,Sword
Beatrice Carlton,Leather Boots,3,Corbin Gresham,Sword
Corbin Hollingsworth,Leather Boots,15,Cassius Stratford,Shield
Evangeline Meriwether,Sword,10,Cyprian Dunstable,Leather Boots
Lucian Last Name,Sword,1,Cassius Somerset,Leather Boots
Quintus Clayton,Leather Boots,2,Lysandra Whitmore,Shield
Thaddeus Marlowe,Leather Boots,7,Perseus Fairfax,Sword
Guinevere Stratford,Shield,9,Cornelius Pendragon,Leather Boots
Thaddeus Withers,Shield,11,Ambrose Sanderson,Sword
Titania Faraday,Sword,11,Ambrose Blackwood,Leather Boots
Titus Channing,Leather Boots,4,Hadrian Monroe,Sword
Aveline Stanhope,Shield,7,Aveline Beauchamp,Leather Boots
Artemis Bradford,Sword,9,Elaine Fitzwilliam,Shield
Cressida Rutherford,Shield,10,Corin Marston,Leather Boots
Aurelia Winchester,Shield,3,Morgana Langford,Leather Boots
Cordelia Harrow,Leather Boots,4,Elaine Chadwell,Sword
Helena Withers,Leather Boots,6,Cornelius Last Name,Shield
Percival Chadwick,Shield,5,Benedict Davenport,Leather Boots
Rosalind Dunstan,Leather Boots,1,Augustus Langdon,Sword
Rosamund Huntington,Leather Boots,9,Elara Winslow,Shield
Elaine Thornton,Shield,12,Guinevere Farleigh,Sword
Artemis Hartley,Sword,14,Leon Carlyle,Shield
Carl Windsor,Shield,15,Cyprian Stratton,Sword
Corin Monroe,Sword,5,Ariadne Langley,Shield
Aurelian Wentworth,Shield,13,Cordelia Channing,Sword
Valerius Covington,Leather Boots,11,Aurelia Winthrop,Sword
Amara Fairfax,Sword,4,Gawain Harper,Leather Boots
Cyprian Wellington,Shield,18,Lyra Marlowe,Sword
Cedric Hampton,Sword,6,Amara Redcliffe,Leather Boots
Leocadia Marlowe,Sword,3,Evangeline Addington,Leather Boots
Leander Whitfield,Leather Boots,4,Constantine Llewellyn,Sword
Helena Witherspoon,Shield,2,Isolde Ellis,Sword
Felix Westminster,Sword,10,Maximus Withers,Leather Boots
Briallen Winthrop,Sword,9,Aurelia Whitfield,Shield
Lucian Westcott,Shield,8,Rowena Fitzgerald,Sword
Corin Gresham,Shield,4,Aurelia Arundel,Sword
Severus Chadwell,Sword,1,Hadrian Winchester,Leather Boots
Artemis Harrow,Shield,13,Aurelie Huntington,Sword
Artemis Chatham,Leather Boots,1,Cordelia Huntington,Shield
Aurelia Bradbury,Sword,2,Ariadne Blackburn,Leather Boots
Benedict Chadwell,Leather Boots,10,Cassius Standish,Shield
Hadrian Harper,Sword,10,Eleanor Somerset,Leather Boots
Leon Blackwell,Shield,12,Guinevere Hartley,Sword
Felix Kingsley,Shield,3,Aurelie Donovan,Sword
Helena Chatham,Leather Boots,11,Titania Carlisle,Shield
Amara Holloway,Shield,10,Perseus Arundel,Leather Boots
Galen Standish,Shield,4,Lucian Arundel,Sword
Cordelia Stratton,Leather Boots,1,Lucinda Ellis,Shield
Ginevra Sinclair,Leather Boots,1,Cedric Hawthorne,Sword
Aurelia Addington,Shield,5,Valentin Chaucer,Leather Boots
Marcus Hartley,Sword,9,Seraphina Harrow,Leather Boots
Lucian Somerset,Sword,8,Caius Beauchamp,Leather Boots
Cressida Bramblecroft,Sword,3,Cyprian Wellington,Shield
Evangeline Ashbourne,Sword,2,Marcellus Blackwood,Leather Boots
Cassian Winthrop,Shield,2,Seraphina Bradford,Sword
Benedict Ashbourne,Leather Boots,1,Julius Meriwether,Sword
Guinevere Monroe,Sword,11,Severus Barlow,Shield
Junia Warwick,Shield,14,Rowan Harper,Leather Boots
Aurelia Harrow,Shield,12,Caius Sanderson,Leather Boots
Thaddeus Fitzgerald,Leather Boots,26,Clementine Merrick,Sword
Euphemia Dunstan,Sword,7,Elowen Winslow,Leather Boots
Lucius Beaumont,Shield,4,Ambrose Wentworth,Sword
Artemis Langford,Shield,3,Carl Winchester,Leather Boots
Evangeline Hawthorne,Leather Boots,23,Guinevere Warwick,Sword
Artemis Bramblecroft,Shield,8,Arabella Carleton,Sword
Octavian Carlton,Leather Boots,11,Lancelot Chamberlain,Sword
Cassian Marston,Shield,5,Seraphina Thornton,Leather Boots
Isolde Hartley,Sword,4,Lucian Huntington,Shield
Quintus Whitaker,Sword,8,Eloise Cromwell,Shield
Marcus Carleton,Sword,22,Rowan Winslow,Leather Boots
Lucius Lancaster,Shield,3,Rosamund Pendleton,Leather Boots
Leander Harper,Shield,7,Ariadne Donovan,Leather Boots
First Name Monroe,Leather Boots,7,Daphne Somerset,Shield
Tiberius Blackwood,Shield,3,Daphne Chaucer,Sword
Cassius Ashbourne,Shield,25,Valentin Wycliffe,Sword
Elowen Witherspoon,Sword,13,Arabella Manning,Shield
Maximus Monroe,Shield,11,Tiberius Davenport,Sword
Carl Langley,Shield,10,Felix Winslow,Leather Boots
Maximus Stratford,Leather Boots,10,Eleanor Withers,Sword
Eleanor Addington,Shield,16,Elaine Withers,Leather Boots
Caius Claybourne,Sword,5,Eleanor Carlyle,Leather Boots
Caius Harrington,Leather Boots,1,Helena Davenport,Sword
Corbin Redcliffe,Shield,9,Gawain Whitaker,Leather Boots
Augustus Chatham,Sword,18,Euphemia Windsor,Shield
Ambrose Winchester,Sword,5,Cedric Bannister,Shield
Severus Westminster,Shield,2,Lyra Hollingsworth,Leather Boots
Evangeline Hastings,Leather Boots,6,Aurelian Rutherford,Sword
Valerius Hawthorne,Leather Boots,10,Gwendolyn Ellis,Shield
Aurelius Davenport,Leather Boots,7,Rowan Arundel,Sword
Constantine Mortimer,Sword,17,Cyprian Beaumont,Shield
Corbin Winthrop,Leather Boots,11,Quintus Redmond,Sword
Cassius Lancaster,Shield,11,Lyra Bellingham,Leather Boots
Felix Carlyle,Sword,18,Eleanor Somerset,Leather Boots
Cordelia Barlow,Shield,10,Percival Hawthorne,Sword
Briallen Holloway,Shield,2,Leon Faraday,Leather Boots
Orlando Channing,Leather Boots,12,Caius Standish,Shield
Junia Stanhope,Leather Boots,21,Guinevere Redmond,Sword
Augustus Langley,Leather Boots,8,Euphemia Bradbury,Shield
Elaine Withers,Leather Boots,7,Caius Ellis,Shield
Lucius Hollingsworth,Shield,4,Evangeline Holloway,Leather Boots
Orlando Last Name,Sword,8,Thaddeus Thornton,Leather Boots
Elaine Carlisle,Leather Boots,5,Gwendolyn Hampton,Sword
Gaius Lancaster,Shield,5,Lyra Chadwick,Sword
Hadrian Windsor,Leather Boots,5,Artemis Bannister,Sword
Orlando Sanderson,Sword,4,Maximus Chadwell,Shield
Arabella Carlyle,Sword,9,Leander Winchester,Shield
Seraphina Blackwood,Shield,4,Cassian Chadwick,Leather Boots
Leon Lancaster,Leather Boots,15,Guinevere Lancaster,Shield
Julius Claybourne,Leather Boots,23,Lucinda Hastings,Sword
Helena Blackwood,Shield,7,Lucius Faraday,Leather Boots
Tiberius Westcott,Sword,9,Theron Fairchild,Shield
Galen Stratton,Leather Boots,1,Cyprian Bradford,Shield
Isolde Redcliffe,Sword,4,Constantine Arundel,Shield
Valentin Winchester,Leather Boots,11,Leon Llewellyn,Sword
Cassius Manning,Leather Boots,9,Valentin Carlyle,Shield
Artemis Westcott,Sword,12,Cassian Forrester,Shield
Cordelia Redmond,Sword,21,Valerius Montgomery,Shield
Daphne Merrick,Shield,1,Tiberius Witherspoon,Leather Boots
Cordelia Barlow,Sword,9,Evangeline Carlyle,Leather Boots
Lucian Beaumont,Sword,4,Severus Pendragon,Shield
Titania Windsor,Sword,30,Lavinia Clayton,Leather Boots
Gwendolyn Addington,Shield,4,Cassius Harrington,Sword
Eleanor Holloway,Leather Boots,17,Maximus Whitmore,Shield
Aurelian Gresham,Sword,8,Cassia Forrester,Leather Boots
Julius Blackwood,Shield,4,Galen Marston,Leather Boots
Lavinia Carlton,Sword,3,Helena Drake,Leather Boots
Gaius Stratford,Sword,11,Beatrice Langdon,Shield
Guinevere Langley,Sword,21,Aurelia Chadwell,Shield
Ariadne Redmond,Sword,17,Augustus Carlyle,Leather Boots
Daphne Lancaster,Shield,11,Valentin Clifford,Leather Boots
Lysander Last Name,Leather Boots,9,Artemis Fitzwilliam,Shield
Carl Claybourne,Shield,1,Beatrice Winchester,Sword
Artemis Last Name,Leather Boots,8,Isolde Hartley,Shield
Theron Chadwick,Shield,1,Lavinia Carlton,Leather Boots
Lysander Stanhope,Leather Boots,11,Cyprian Harrow,Sword
Titania Bradbury,Shield,5,Beatrice Harrington,Sword
Benedict Carleton,Leather Boots,17,Octavius Langdon,Sword
Remus Bannister,Sword,1,Tiberius Fitzgerald,Shield
Aurelius Hastings,Sword,31,Guinevere Stratton,Leather Boots
Hadrian Fitzwilliam,Shield,2,Ambrose Langdon,Leather Boots
Caius Montgomery,Shield,5,Remus Marston,Sword
Lysandra Beaumont,Shield,9,Cornelius Bramblecroft,Leather Boots
Ariadne Sheffield,Leather Boots,20,Theron Merrick,Shield
Junia Winslow,Shield,4,Lucinda Carlton,Sword
Cressida Bannister,Leather Boots,14,Quintus Marlowe,Shield
Tiberius Merrick,Sword,1,Euphemia Whitaker,Leather Boots
Cyprian Meriwether,Sword,4,Rowan Manning,Leather Boots
Corin Stratton,Shield,3,Cassian Fitzgerald,Sword
Lucius Langdon,Sword,11,Leon Clifford,Shield
Isolde Fairfax,Shield,9,Euphemia Addington,Leather Boots
Evangeline Winthrop,Sword,5,Corbin Fairfax,Leather Boots
Aurelie Beaumont,Shield,8,Lyra Last Name,Sword
Felix Sinclair,Leather Boots,4,Aurelie Pendragon,Sword
Lyra Whitmore,Leather Boots,10,Aurelius Standish,Sword
Leon Carlton,Shield,8,Aurelia Whitaker,Sword
Caius Stanhope,Shield,1,Valentin Redcliffe,Leather Boots
Cressida Stanhope,Shield,8,Corbin Sanderson,Sword
Cordelia Wycliffe,Shield,6,Felix Blackwell,Sword
Hadrian Marston,Leather Boots,6,Carl Withers,Shield
Tiberius Hazelmere,Sword,1,Aurelian Mortimer,Shield
Guinevere Devereux,Sword,20,Gaius Fairfax,Leather Boots
Benedict Sanderson,Leather Boots,4,Leander Blackwood,Sword
Septimus Ashbourne,Sword,4,Guinevere Winslow,Leather Boots
Guinevere Langley,Leather Boots,14,Guinevere Redmond,Sword
Titania Wellington,Leather Boots,4,Eloise Blackwood,Sword
Gawain Dunstan,Sword,5,Lucinda Warwick,Shield
Artemis Stanhope,Sword,8,Isolde Wellford,Shield
Maximus Blackwood,Sword,23,Marcus Stanhope,Leather Boots
Isolde Covington,Shield,5,Aurelian Blackwell,Leather Boots
Gwendolyn Clayton,Sword,11,Corin Wentworth,Shield
Leon Chamberlain,Sword,12,Eloise Bramblecroft,Leather Boots
Titania Winslow,Leather Boots,5,Felix Holloway,Sword
Corbin Harrow,Sword,8,Cyprian Wentworth,Leather Boots
Morgana Hawthorne,Leather Boots,12,Helena Lancaster,Shield
Lucinda Holloway,Sword,1,Isolde Dunstan,Leather Boots
Perseus Ashbourne,Leather Boots,2,Aurelie Withers,Shield
Octavius Wellford,Shield,7,Septimus Wentworth,Sword
Caius Stratton,Sword,1,Perseus Hawthorne,Leather Boots
Helena Westcott,Leather Boots,5,Aurelie Winthrop,Shield
Lysander Blackwell,Sword,2,Ariadne Donovan,Leather Boots
Lysandra Davenport,Sword,7,Septimus Thornton,Leather Boots
Eleanor Hastings,Shield,3,Tiberius Bellingham,Leather Boots
Cornelius Marston,Shield,6,Beatrice Hampton,Sword
Cordelia Blackwood,Leather Boots,25,Aurelian Lancaster,Sword
Euphemia Barlow,Sword,7,Cassian Carleton,Leather Boots
Beatrice Langdon,Shield,17,Augustus Harrington,Sword
Cornelius Stanhope,Leather Boots,3,Lavinia Harrington,Shield
Leocadia Ashbourne,Shield,9,Corbin Covington,Sword
Evangeline Beauchamp,Shield,10,Elowen Beaumont,Sword
Lucinda Fitzwilliam,Sword,4,Seraphina Ellis,Leather Boots
Perseus Sheffield,Shield,1,Severus Cromwell,Leather Boots
Ariadne Carlton,Shield,12,Guinevere Monroe,Sword
Morgana Llewellyn,Sword,9,Aveline Fairchild,Leather Boots
Rosamund Bradbury,Leather Boots,5,Valerius Langdon,Shield
